InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalAmount,IsReturn,InvoiceYearMonth,InvoiceDateOnly,Weekday,CohortMonth,OrderMonth
572447,23308,SET OF 60 VINTAGE LEAF CAKE CASES ,1,2011-10-24 12:25:00,0.55,17811,United Kingdom,0.55,False,2011-10,2011-10-24,Monday,2011-01,2011-10
538635,21523,DOORMAT FANCY FONT HOME SWEET HOME,1,2010-12-13 13:32:00,7.95,17303,United Kingdom,7.95,False,2010-12,2010-12-13,Monday,2010-12,2010-12
546911,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,12,2011-03-17 19:47:00,1.25,17725,United Kingdom,15.0,False,2011-03,2011-03-17,Thursday,2011-03,2011-03
536557,22953,BIRTHDAY PARTY CORDON BARRIER TAPE,1,2010-12-01 14:41:00,1.25,17841,United Kingdom,1.25,False,2010-12,2010-12-01,Wednesday,2010-12,2010-12
554347,23203,JUMBO BAG DOILEY PATTERNS,30,2011-05-24 08:21:00,2.08,16523,United Kingdom,62.400000000000006,False,2011-05,2011-05-24,Tuesday,2011-01,2011-05
565519,22698,PINK REGENCY TEACUP AND SAUCER,6,2011-09-05 11:52:00,2.95,12502,Spain,17.700000000000003,False,2011-09,2011-09-05,Monday,2011-02,2011-09
555728,85124B,BLUE JUICY FRUIT PHOTO FRAME,1,2011-06-06 16:41:00,2.55,17252,United Kingdom,2.55,False,2011-06,2011-06-06,Monday,2011-06,2011-06
545066,22913,RED COAT RACK PARIS FASHION,1,2011-02-27 14:44:00,4.95,13610,United Kingdom,4.95,False,2011-02,2011-02-27,Sunday,2011-02,2011-02
538664,22470,HEART OF WICKER LARGE,40,2010-12-13 15:46:00,2.55,14733,United Kingdom,102.0,False,2010-12,2010-12-13,Monday,2010-12,2010-12
539653,22212,FOUR HOOK  WHITE LOVEBIRDS,4,2010-12-20 16:50:00,2.1,13564,United Kingdom,8.4,False,2010-12,2010-12-20,Monday,2010-12,2010-12
569123,23301,GARDENERS KNEELING PAD KEEP CALM ,2,2011-09-30 13:09:00,1.65,12748,United Kingdom,3.3,False,2011-09,2011-09-30,Friday,2010-12,2011-09
571038,85035A,GARDENIA 3 WICK MORRIS BOXED CANDLE,1,2011-10-13 12:58:00,1.25,15511,United Kingdom,1.25,False,2011-10,2011-10-13,Thursday,2011-09,2011-10
540261,22457,NATURAL SLATE HEART CHALKBOARD ,48,2011-01-06 09:57:00,2.55,13089,United Kingdom,122.39999999999999,False,2011-01,2011-01-06,Thursday,2010-12,2011-01
537867,21485,RETROSPOT HEART HOT WATER BOTTLE,3,2010-12-08 16:48:00,4.95,16717,United Kingdom,14.850000000000001,False,2010-12,2010-12-08,Wednesday,2010-12,2010-12
549546,21716,BOYS VINTAGE TIN SEASIDE BUCKET,2,2011-04-10 11:24:00,2.55,16889,United Kingdom,5.1,False,2011-04,2011-04-10,Sunday,2011-01,2011-04
571551,22619,SET OF 6 SOLDIER SKITTLES,8,2011-10-18 08:28:00,3.75,15637,United Kingdom,30.0,False,2011-10,2011-10-18,Tuesday,2011-10,2011-10
565725,23155,KNICKERBOCKERGLORY MAGNET ASSORTED ,12,2011-09-06 11:55:00,0.83,13949,United Kingdom,9.959999999999999,False,2011-09,2011-09-06,Tuesday,2011-09,2011-09
542412,85206A,CREAM FELT EASTER EGG BASKET,1,2011-01-27 16:49:00,1.65,16725,United Kingdom,1.65,False,2011-01,2011-01-27,Thursday,2010-12,2011-01
543651,16219,HOUSE SHAPE PENCIL SHARPENER,12,2011-02-11 10:06:00,0.21,16306,United Kingdom,2.52,False,2011-02,2011-02-11,Friday,2010-12,2011-02
550274,22669,RED BABY BUNTING ,5,2011-04-15 12:23:00,2.95,15498,United Kingdom,14.75,False,2011-04,2011-04-15,Friday,2010-12,2011-04
581191,90081C,LILY BROOCH OLIVE COLOUR,1,2011-12-07 16:56:00,4.95,17449,United Kingdom,4.95,False,2011-12,2011-12-07,Wednesday,2010-12,2011-12
565128,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,2011-09-01 12:34:00,2.95,15189,United Kingdom,17.700000000000003,False,2011-09,2011-09-01,Thursday,2011-01,2011-09
566581,21181,PLEASE ONE PERSON METAL SIGN,5,2011-09-13 13:47:00,2.1,16081,United Kingdom,10.5,False,2011-09,2011-09-13,Tuesday,2010-12,2011-09
540278,20717,STRAWBERRY SHOPPER BAG,3,2011-01-06 12:31:00,1.25,15719,United Kingdom,3.75,False,2011-01,2011-01-06,Thursday,2011-01,2011-01
579520,22467,GUMBALL COAT RACK,1,2011-11-29 18:14:00,2.55,12748,United Kingdom,2.55,False,2011-11,2011-11-29,Tuesday,2010-12,2011-11
549448,22683,FRENCH BLUE METAL DOOR SIGN 8,10,2011-04-08 14:07:00,1.25,13078,United Kingdom,12.5,False,2011-04,2011-04-08,Friday,2010-12,2011-04
544887,22492,MINI PAINT SET VINTAGE ,36,2011-02-24 11:54:00,0.65,17364,United Kingdom,23.400000000000002,False,2011-02,2011-02-24,Thursday,2011-01,2011-02
541602,22191,IVORY DINER WALL CLOCK,2,2011-01-19 17:17:00,8.5,17231,United Kingdom,17.0,False,2011-01,2011-01-19,Wednesday,2010-12,2011-01
569727,78033,FLAG OF ST GEORGE CHAIR,2,2011-10-06 09:37:00,5.95,12500,Germany,11.9,False,2011-10,2011-10-06,Thursday,2011-01,2011-10
545019,22991,GIRAFFE WOODEN RULER,48,2011-02-25 13:56:00,1.95,15093,United Kingdom,93.6,False,2011-02,2011-02-25,Friday,2010-12,2011-02
571270,21617,4 LILY  BOTANICAL DINNER CANDLES,2,2011-10-16 12:09:00,1.25,12940,United Kingdom,2.5,False,2011-10,2011-10-16,Sunday,2011-09,2011-10
567912,22233,JIGSAW RABBIT AND BIRDHOUSE,6,2011-09-22 17:07:00,0.59,15555,United Kingdom,3.54,False,2011-09,2011-09-22,Thursday,2010-12,2011-09
537622,22381,TOY TIDY PINK POLKADOT,1,2010-12-07 14:30:00,2.1,13173,United Kingdom,2.1,False,2010-12,2010-12-07,Tuesday,2010-12,2010-12
567424,23240,SET OF 4 KNICK KNACK TINS DOILY ,2,2011-09-20 11:16:00,4.15,16369,United Kingdom,8.3,False,2011-09,2011-09-20,Tuesday,2011-05,2011-09
573370,23581,JUMBO BAG PAISLEY PARK,10,2011-10-30 13:30:00,2.08,16626,United Kingdom,20.8,False,2011-10,2011-10-30,Sunday,2011-03,2011-10
569965,23118,PARISIENNE JEWELLERY DRAWER ,2,2011-10-06 18:47:00,7.5,18109,United Kingdom,15.0,False,2011-10,2011-10-06,Thursday,2010-12,2011-10
571204,22180,RETROSPOT LAMP,6,2011-10-14 12:34:00,9.95,17677,United Kingdom,59.699999999999996,False,2011-10,2011-10-14,Friday,2010-12,2011-10
540268,22384,LUNCH BAG PINK POLKADOT,10,2011-01-06 11:25:00,1.65,13458,United Kingdom,16.5,False,2011-01,2011-01-06,Thursday,2010-12,2011-01
573340,22609,PENS ASSORTED SPACEBALL,36,2011-10-30 11:55:00,0.19,14159,United Kingdom,6.84,False,2011-10,2011-10-30,Sunday,2010-12,2011-10
566561,21915,RED  HARMONICA IN BOX ,12,2011-09-13 12:13:00,1.25,18145,United Kingdom,15.0,False,2011-09,2011-09-13,Tuesday,2011-01,2011-09
567424,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2011-09-20 11:16:00,0.55,16369,United Kingdom,13.200000000000001,False,2011-09,2011-09-20,Tuesday,2011-05,2011-09
538853,21121,SET/10 RED POLKADOT PARTY CANDLES,1,2010-12-14 13:35:00,1.25,16805,United Kingdom,1.25,False,2010-12,2010-12-14,Tuesday,2010-12,2010-12
572352,22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,12,2011-10-24 11:39:00,1.25,16814,United Kingdom,15.0,False,2011-10,2011-10-24,Monday,2010-12,2011-10
543631,22550,HOLIDAY FUN LUDO,1,2011-02-10 16:17:00,3.75,14081,United Kingdom,3.75,False,2011-02,2011-02-10,Thursday,2010-12,2011-02
562789,23360,SET 8 CANDLES VINTAGE DOILEY,1,2011-08-09 13:50:00,1.95,14646,Netherlands,1.95,False,2011-08,2011-08-09,Tuesday,2010-12,2011-08
554441,47590A,BLUE HAPPY BIRTHDAY BUNTING,3,2011-05-24 12:22:00,5.45,13213,United Kingdom,16.35,False,2011-05,2011-05-24,Tuesday,2011-05,2011-05
565846,21169,YOU'RE CONFUSING ME METAL SIGN ,2,2011-09-07 12:41:00,1.69,14606,United Kingdom,3.38,False,2011-09,2011-09-07,Wednesday,2010-12,2011-09
553190,21870,I CAN ONLY PLEASE ONE PERSON MUG,1,2011-05-15 13:14:00,1.25,15164,United Kingdom,1.25,False,2011-05,2011-05-15,Sunday,2011-01,2011-05
553832,85053,FRENCH ENAMEL CANDLEHOLDER,6,2011-05-19 11:38:00,2.1,12957,United Kingdom,12.600000000000001,False,2011-05,2011-05-19,Thursday,2011-01,2011-05
574907,23316,RED REFECTORY CLOCK ,1,2011-11-07 15:33:00,9.95,17043,United Kingdom,9.95,False,2011-11,2011-11-07,Monday,2011-03,2011-11
541595,21724,PANDA AND BUNNIES STICKER SHEET,2,2011-01-19 16:08:00,0.85,14606,United Kingdom,1.7,False,2011-01,2011-01-19,Wednesday,2010-12,2011-01
549741,22433,WATERING CAN GREEN DINOSAUR,6,2011-04-12 09:53:00,1.95,13655,United Kingdom,11.7,False,2011-04,2011-04-12,Tuesday,2011-04,2011-04
547786,82482,WOODEN PICTURE FRAME WHITE FINISH,3,2011-03-25 11:44:00,2.55,14587,United Kingdom,7.6499999999999995,False,2011-03,2011-03-25,Friday,2011-01,2011-03
544658,22087,PAPER BUNTING WHITE LACE,40,2011-02-22 13:18:00,2.55,13113,United Kingdom,102.0,False,2011-02,2011-02-22,Tuesday,2010-12,2011-02
553193,23093,SMALL PARISIENNE HEART PHOTO FRAME ,6,2011-05-15 13:31:00,2.49,15081,United Kingdom,14.940000000000001,False,2011-05,2011-05-15,Sunday,2010-12,2011-05
576844,23325,RUSTIC STRAWBERRY JAM POT SMALL,48,2011-11-16 15:33:00,1.45,16713,United Kingdom,69.6,False,2011-11,2011-11-16,Wednesday,2010-12,2011-11
569650,20727,LUNCH BAG  BLACK SKULL.,100,2011-10-05 12:44:00,1.45,12415,Australia,145.0,False,2011-10,2011-10-05,Wednesday,2011-01,2011-10
549844,22148,EASTER CRAFT 4 CHICKS ,6,2011-04-12 14:17:00,1.95,12854,United Kingdom,11.7,False,2011-04,2011-04-12,Tuesday,2011-01,2011-04
559824,22908,PACK OF 20 NAPKINS RED APPLES,6,2011-07-12 17:23:00,0.85,17576,United Kingdom,5.1,False,2011-07,2011-07-12,Tuesday,2010-12,2011-07
547873,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,2011-03-27 15:33:00,4.95,13240,United Kingdom,14.850000000000001,False,2011-03,2011-03-27,Sunday,2010-12,2011-03
569670,21524,DOORMAT SPOTTY HOME SWEET HOME,1,2011-10-05 13:47:00,8.25,14730,United Kingdom,8.25,False,2011-10,2011-10-05,Wednesday,2011-03,2011-10
571846,22488,NATURAL SLATE RECTANGLE CHALKBOARD,6,2011-10-19 12:35:00,1.65,17841,United Kingdom,9.899999999999999,False,2011-10,2011-10-19,Wednesday,2010-12,2011-10
568220,22077,6 RIBBONS RUSTIC CHARM,12,2011-09-26 10:03:00,1.95,15626,United Kingdom,23.4,False,2011-09,2011-09-26,Monday,2011-01,2011-09
575324,20750,RED RETROSPOT MINI CASES,2,2011-11-09 13:45:00,7.95,14240,United Kingdom,15.9,False,2011-11,2011-11-09,Wednesday,2011-04,2011-11
C556530,22501,PICNIC BASKET WICKER LARGE,-3,2011-06-13 11:42:00,9.95,18109,United Kingdom,-29.849999999999998,True,2011-06,2011-06-13,Monday,2010-12,2011-06
574038,23035,DRAWER KNOB CERAMIC IVORY,6,2011-11-02 12:56:00,1.45,18164,United Kingdom,8.7,False,2011-11,2011-11-02,Wednesday,2011-11,2011-11
548611,82001S,VINYL RECORD FRAME SILVER,12,2011-04-01 11:31:00,3.75,18230,United Kingdom,45.0,False,2011-04,2011-04-01,Friday,2010-12,2011-04
552726,22379,RECYCLING BAG RETROSPOT ,5,2011-05-11 10:31:00,2.1,14920,United Kingdom,10.5,False,2011-05,2011-05-11,Wednesday,2011-05,2011-05
578515,23215,JINGLE BELL HEART ANTIQUE SILVER,4,2011-11-24 13:40:00,2.08,16885,United Kingdom,8.32,False,2011-11,2011-11-24,Thursday,2010-12,2011-11
556263,21930,JUMBO STORAGE BAG SKULLS,6,2011-06-09 18:41:00,2.08,13969,United Kingdom,12.48,False,2011-06,2011-06-09,Thursday,2010-12,2011-06
579413,23132,SMALL IVORY HEART WALL ORGANISER,2,2011-11-29 12:50:00,5.75,13668,United Kingdom,11.5,False,2011-11,2011-11-29,Tuesday,2010-12,2011-11
561507,22630,DOLLY GIRL LUNCH BOX,12,2011-07-27 14:21:00,1.95,12397,Belgium,23.4,False,2011-07,2011-07-27,Wednesday,2011-07,2011-07
557759,85032B,BLOSSOM IMAGES GIFT WRAP SET,12,2011-06-22 13:52:00,0.65,14156,EIRE,7.800000000000001,False,2011-06,2011-06-22,Wednesday,2010-12,2011-06
546679,22553,PLASTERS IN TIN SKULLS,3,2011-03-15 16:47:00,1.65,13121,United Kingdom,4.949999999999999,False,2011-03,2011-03-15,Tuesday,2011-03,2011-03
573508,22898,CHILDRENS APRON APPLES DESIGN,8,2011-10-31 12:11:00,1.95,12552,Italy,15.6,False,2011-10,2011-10-31,Monday,2011-10,2011-10
557878,23287,RED VINTAGE SPOT BEAKER,8,2011-06-23 13:13:00,0.85,16940,United Kingdom,6.8,False,2011-06,2011-06-23,Thursday,2011-02,2011-06
554498,21915,RED  HARMONICA IN BOX ,12,2011-05-24 14:39:00,1.25,15314,United Kingdom,15.0,False,2011-05,2011-05-24,Tuesday,2011-05,2011-05
565670,22728,ALARM CLOCK BAKELIKE PINK,8,2011-09-06 09:23:00,3.75,14944,United Kingdom,30.0,False,2011-09,2011-09-06,Tuesday,2010-12,2011-09
576581,23204,CHARLOTTE BAG APPLES DESIGN,10,2011-11-15 14:15:00,0.85,15955,United Kingdom,8.5,False,2011-11,2011-11-15,Tuesday,2010-12,2011-11
546091,22980,PANTRY SCRUBBING BRUSH,12,2011-03-09 11:53:00,1.65,14936,Channel Islands,19.799999999999997,False,2011-03,2011-03-09,Wednesday,2011-03,2011-03
562716,70007,HI TEC ALPINE HAND WARMER,12,2011-08-08 15:35:00,1.65,14257,United Kingdom,19.799999999999997,False,2011-08,2011-08-08,Monday,2011-01,2011-08
577751,22167, OVAL WALL MIRROR DIAMANTE ,1,2011-11-21 14:34:00,9.95,12904,United Kingdom,9.95,False,2011-11,2011-11-21,Monday,2011-06,2011-11
547518,20712,JUMBO BAG WOODLAND ANIMALS,100,2011-03-23 14:39:00,1.65,13694,United Kingdom,165.0,False,2011-03,2011-03-23,Wednesday,2010-12,2011-03
571404,22589,CARDHOLDER GINGHAM STAR,6,2011-10-17 12:04:00,2.89,17520,United Kingdom,17.34,False,2011-10,2011-10-17,Monday,2011-10,2011-10
576051,20675,BLUE POLKADOT BOWL,8,2011-11-13 14:45:00,1.25,14911,EIRE,10.0,False,2011-11,2011-11-13,Sunday,2010-12,2011-11
